ID,HasRevenue
6162,0
8143,0
5571,1
3933,0
934,0
5668,0
1332,0
3600,1
5638,0
3979,0
3466,0
1088,0
4673,0
5140,0
877,0
7708,0
5834,0
6064,0
121,0
2272,0
1359,0
7139,1
424,0
2046,1
3188,0
4746,0
7375,0
7552,0
4843,0
2428,0
514,1
6002,0
5650,0
6857,0
7543,1
7195,0
8523,0
773,0
2198,0
5074,1
2298,0
6364,0
7309,0
233,0
3607,0
1586,0
1622,0
297,0
3769,0
6249,0
5814,0
5162,0
4440,0
7207,0
3601,0
500,0
5528,0
5636,1
351,0
1445,0
4486,1
3621,0
8777,0
6793,0
4990,0
4520,1
5627,0
3204,0
3010,0
7060,0
4343,0
3344,0
2201,0
4832,0
7301,0
6260,0
5685,0
3405,1
6537,0
125,0
2991,0
7748,0
4226,0
5970,0
5037,0
251,1
5405,0
473,0
4205,0
6307,0
1347,0
8755,1
7120,0
6754,1
5236,0
2574,0
2791,0
5804,1
2912,0
2139,0
8011,0
2432,0
3382,1
8495,0
1838,0
8959,0
7453,0
1078,0
5755,0
8331,0
556,0
8001,0
7971,0
4455,0
5294,0
333,0
8345,0
6196,0
3953,0
3550,1
2990,0
2680,0
5984,0
3186,0
846,0
2010,0
7447,0
1733,0
3137,0
5794,0
4877,0
6241,0
7510,0
8534,0
4903,0
5599,0
3284,0
6875,1
6931,0
1789,0
3112,1
6159,1
7934,0
6032,0
7167,0
5218,0
4997,1
5202,0
1527,0
8042,0
6750,0
7911,0
8080,0
169,0
3668,0
7600,0
7695,0
4256,0
499,0
4763,0
1821,0
2190,1
8790,1
4989,0
8312,0
355,0
6758,0
1535,0
7789,1
7360,0
4270,0
1157,0
5967,0
3799,0
1692,1
3109,0
8712,0
2921,1
2218,1
6046,0
4403,0
3873,0
6198,0
8665,0
7171,0
7425,0
3748,0
4407,0
3362,1
73,0
289,0
5512,0
91,1
5654,0
2361,0
1658,1
428,0
2925,0
2244,0
7279,0
4277,0
3802,1
185,0
2152,0
6888,0
4607,1
2626,0
3775,0
8871,0
2283,0
5593,0
8659,0
8469,0
1520,0
3182,0
4980,0
6570,0
4125,0
8936,0
2664,0
1939,1
5309,0
4359,0
115,0
4778,0
4186,0
5110,0
1057,0
8751,0
4156,0
3379,0
142,1
987,1
7651,0
4028,0
6515,1
2613,1
7745,0
3101,1
2795,1
182,0
3605,0
2672,0
7562,0
2908,0
4612,0
1173,0
5142,1
7888,0
2243,0
8825,0
2562,0
1899,1
4782,0
748,0
1957,0
8423,0
3075,0
1425,0
1713,0
2548,0
8426,0
4961,0
8163,0
5160,0
4108,0
608,0
3897,0
6266,0
3462,0
385,0
3046,0
2866,0
3404,0
7071,0
3478,1
7462,0
2722,0
5774,0
3146,0
1346,0
36,0
8414,0
5982,0
8533,0
6558,0
6267,0
6718,0
2239,0
7473,1
3592,0
